Time, Flow
0.0,59.765625
0.49799999999959255,59.4140625
0.9959999999991851,60.46875
1.4610000000029686,59.765625
1.9769999999989523,60.8203125
2.4899999999979627,59.0625
2.985000000000582,59.4140625
3.470000000001164,58.7109375
3.997000000003027,59.765625
4.485999999997148,59.765625
4.968000000000757,60.46875
5.470000000001164,60.1171875
5.991000000001804,59.765625
6.47099999999773,59.765625
6.970000000001164,58.7109375
7.474000000001979,61.171875
7.961000000002969,59.4140625
7.961000000002969,61.5234375
8.491000000001804,59.765625
8.491000000001804,60.1171875
8.951000000000931,59.0625
9.459999999999127,58.0078125
9.97899999999936,58.359375
10.485000000000582,59.765625
12.476999999998952,0.0
124.0,0.0
133.38700000000244,66.4453125
134.52999999999884,68.203125
135.612000000001,68.203125
136.6949999999997,67.8515625
137.75100000000384,68.203125
138.7850000000035,68.203125
139.83499999999913,68.203125
140.83800000000338,68.203125
141.89100000000326,68.203125
142.91300000000047,68.203125
142.91300000000047,68.203125
143.92199999999866,68.5546875
143.92199999999866,68.5546875
144.9250000000029,68.203125
144.9250000000029,68.203125
145.98999999999796,68.203125
147.01000000000204,68.203125
148.03399999999965,68.203125
149.0370000000039,68.203125
150.09000000000378,68.5546875
151.112000000001,68.203125
152.15099999999802,68.5546875
153.21500000000378,68.203125
154.2719999999972,68.5546875
155.31900000000314,68.203125
156.3729999999996,68.5546875
157.40899999999965,68.5546875
158.45900000000256,68.203125
159.49599999999919,68.203125
160.56199999999808,68.5546875
161.60900000000402,68.5546875
162.6800000000003,68.203125
163.75300000000425,68.203125
163.75300000000425,68.203125
164.8050000000003,68.203125
164.8050000000003,68.203125
165.887999999999,68.203125
165.887999999999,68.203125
166.93699999999808,68.203125
168.03899999999703,68.5546875
169.10399999999936,68.5546875
170.22499999999854,68.5546875
171.3570000000036,68.5546875
172.59100000000035,68.5546875
173.84599999999773,67.1484375
175.16300000000047,68.5546875
176.52599999999802,68.5546875
177.85900000000402,68.5546875
179.17799999999988,68.203125
180.4910000000018,68.203125
181.8770000000004,6.328125
183.3090000000011,6.328125
184.70700000000215,6.328125
186.10900000000402,6.328125
187.4559999999983,6.328125
187.4559999999983,6.328125
188.83499999999913,6.328125
188.83499999999913,6.328125
190.25499999999738,67.8515625
190.25499999999738,67.8515625
191.6270000000004,68.5546875
193.02000000000407,68.203125
194.38999999999942,68.5546875
195.81300000000192,68.203125
197.18800000000192,68.5546875
198.59000000000378,68.203125
200.0069999999978,68.203125
201.4800000000032,68.203125
